"Monthly Climate Statistics for 'HOBART (ELLERSLIE ROAD)' [094029]"
"Created on [ 03 Dec 2025 14:27:21 UTC]"

"094029 HOBART (ELLERSLIE ROAD)"
"Commenced: 1882"
"Last Record: 2025"
"Latitude:   42.89 Degrees South"
"Longitude:  147.33 Degrees East"
"Elevation:      51 m"
"State: TAS"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Date of Lowest temperature  °C  for years 1882 to 2025 ",18 Jan  1902,10 Feb  1980,31 Mar  1926,14 Apr  1963,20 May  1902,25 Jun  1972,11 Jul  1981,05 Aug  1962,16 Sep  1897,12 Oct  1889,16 Nov  1941,03 Dec  1906,11 Jul  1981,N/A,1882,2025
"Highest minimum temperature (°C) for years 1882 to 2025 ",23.9,24.7,21.1,18.6,16.3,15.0,13.0,15.0,18.0,20.2,19.9,23.9,24.7,139,1882,2025
"Date of Highest minimum temperature  °C  for years 1882 to 2025 ",29 Jan  2018,04 Feb  1912,20 Mar  1906,02 Apr  1959,06 May  2025,06 Jun  2016,13 Jul  2023,30 Aug  2005,30 Sep  1973,23 Oct  1933,27 Nov  1937,24 Dec  1920,04 Feb  1912,N/A,1882,2025
"Decile 1 minimum temperature (°C) for years 1882 to 2025 ",8.7,8.4,7.2,5.4,3.6,1.8,1.5,2.2,3.0,4.4,6.0,7.6, ,130,1882,2025
"Decile 9 minimum temperature (°C) for years 1882 to 2025 ",15.6,15.7,14.6,12.8,10.6,8.8,7.9,8.5,9.9,11.2,12.8,14.3, ,130,1882,2025
"Mean number of days <= 2 °C for years 1882 to 2025 ",0.0,0.0,0.0,0.1,0.8,3.3,4.6,2.8,1.1,0.2,0.0,0.0,12.9,139,1882,2025
"Mean number of days <= 0 °C for years 1882 to 2025 ",0.0,0.0,0.0,0.0,0.1,0.5,0.6,0.1,0.0,0.0,0.0,0.0,1.3,139,1882,2025
"Mean daily ground minimum temperature °C for years 1893 to 2010 ",8.9,9.2,7.8,5.7,3.7,1.9,1.4,1.8,3.0,4.4,6.1,7.9,5.1,115,1893,2010
"Lowest ground temperature °C for years 1893 to 2010 ",-1.9,-0.6,-4.4,-3.3,-6.7,-9.7,-7.3,-6.1,-16.0,-4.6,-3.2,-2.2,-16.0,112,1893,2010
"Date of Lowest ground temperature °C for years 1893 to 2010 ",04 Jan  1906,10 Feb  1980,17 Mar  1902,30 Apr  1953,19 May  1902,10 Jun  1900,23 Jul  1961,11 Aug  1953,16 Sep  1916,01 Oct  1899,29 Nov  1905,19 Dec  1907,16 Sep  1916,N/A,1893,2010
"Mean number of days ground min. temp. <= -1 °C for years 1893 to 2010 ",0.0,0.0,0.1,0.5,2.1,5.6,7.0,5.8,3.3,1.4,0.3,0.0,26.1,112,1893,2010
"Mean rainfall (mm) for years 1882 to 2025 ",46.5,38.8,44.1,49.4,47.4,53.6,51.9,54.0,53.0,62.0,54.0,56.7,611.2,144,1882,2025
"Highest rainfall (mm) for years 1882 to 2025 ",150.1,170.8,255.4,247.8,213.8,238.3,156.8,160.8,201.6,193.1,187.7,206.4,1104.2,144,1882,2025
"Date of Highest rainfall for years 1882 to 2025 ",1893,1964,1946,1960,1958,1954,1974,1946,1957,1947,1885,1985,1916,N/A,1882,2025
"Lowest rainfall (mm) for years 1882 to 2025 ",0.4,3.0,4.6,1.8,3.9,1.8,4.4,5.8,10.0,8.6,1.6,0.4,346.6,144,1882,2025
"Date of Lowest rainfall for years 1882 to 2025 ",2019,1914,1992,1904,1913,1979,1950,2006,1951,1982,2003,1994,2006,N/A,1882,2025
"Decile 1 monthly rainfall (mm) for years 1800 to 3000 ",11.4,8.2,14.9,15.0,17.1,17.4,19.1,18.0,21.6,25.7,21.1,16.1, ,144,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",36.4,31.7,36.4,42.0,37.5,44.2,46.8,47.0,42.9,54.4,48.9,47.3, ,144,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",92.6,79.2,81.7,82.3,87.5,90.6,93.6,103.4,95.7,107.3,89.6,109.3, ,144,n/a,n/a
"Highest daily rainfall (mm) for years 1893 to 2025 ",75.2,61.0,88.1,132.3,129.2,147.3,63.8,64.8,156.2,65.5,63.2,84.6,156.2,132,1893,2025
"Date of Highest daily rainfall for years 1893 to 2025 ",30 Jan  1916,09 Feb  1996,17 Mar  1946,23 Apr  1960,11 May  2018,07 Jun  1954,18 Jul  1922,02 Aug  1976,15 Sep  1957,04 Oct  1906,26 Nov  1957,05 Dec  1941,15 Sep  1957,N/A,1893,2025
"Mean number of days of rain for years 1882 to 2025 ",10.6,9.4,11.3,12.2,13.6,14.3,15.3,15.6,15.3,16.2,14.0,12.7,160.5,143,1882,2025
"Mean number of days of rain >= 1 mm for years 1893 to 2025 ",5.6,4.9,6.1,6.8,7.0,7.2,7.8,8.4,8.6,9.4,7.8,7.2,86.8,132,1893,2025
"Mean number of days of rain >= 10 mm for years 1893 to 2025 ",1.1,1.1,1.0,1.3,1.1,1.3,1.3,1.3,1.1,1.5,1.2,1.3,14.6,132,1893,2025
"Mean number of days of rain >= 25 mm for years 1893 to 2025 ",0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.4,2.6,132,1893,2025
"Mean daily wind run (km) for years 1951 to 2025 ",335,312,299,303,298,292,297,316,334,338,341,342,317,72,1951,2025
"Maximum wind gust speed (km/h) for years 1944 to 2025 ",130,130,128,141,135,147,128,139,150,141,135,122,150,76,1944,2025
"Date of Maximum wind gust speed for years 1944 to 2025 ",01 Jan  1978,09 Feb  2014,29 Mar  1958,29 Apr  1977,18 May  1962,13 Jun  1983,05 Jul  1962,06 Aug  1991,28 Sep  1965,02 Oct  1965,15 Nov  1957,03 Dec  1964,28 Sep  1965,N/A,1944,2025
"Mean daily sunshine (hours) for years 1944 to 1995 ",8.0,7.3,6.4,5.3,4.2,3.9,4.4,5.0,5.9,6.5,6.9,7.4,5.9,51,1944,1995
"Mean daily solar exposure (MJ/(m*m)) for years 2007 to 2025 ",22.6,18.4,13.1,9.1,6.1,4.9,5.7,8.3,12.3,16.7,19.8,22.3,13.3,19,2007,2025
"Mean number of clear days for years 1893 to 2010 ",4.2,4.3,4.2,3.6,3.4,3.6,3.4,3.4,2.7,2.6,2.5,2.9,40.8,105,1893,2010
"Mean number of cloudy days for years 1893 to 2010 ",13.6,12.0,13.3,14.5,15.4,14.2,14.1,14.4,14.4,15.2,15.4,15.3,171.8,105,1893,2010
"Mean daily evaporation (mm) for years 1918 to 1994 ",4.2,3.8,2.9,1.9,1.3,0.8,0.8,1.2,1.9,2.6,3.4,3.9,2.4,64,1918,1994
"Mean 9am temperature (°C) for years 1893 to 2010 ",16.6,16.4,14.7,12.4,9.7,7.4,6.9,8.1,10.5,12.5,14.2,15.8,12.1,115,1893,2010
"Mean 9am wet bulb temperature (°C) for years 1893 to 2010 ",12.5,12.7,11.6,9.8,7.8,5.9,5.3,6.1,7.7,9.2,10.4,11.7,9.2,115,1893,2010
"Mean 9am dew point temperature (°C) for years 1893 to 2010 ",8.4,9.1,8.4,7.0,5.4,3.8,3.2,3.4,4.1,5.3,6.3,7.6,6.0,105,1893,2010
"Mean 9am relative humidity (%) for years 1893 to 2010 ",60,64,67,71,76,79,78,73,66,63,60,60,68,115,1893,2010
"Mean 9am cloud cover (okas) for years 1893 to 2010 ",5.2,5.1,5.1,5.2,5.2,5.1,5.1,5.0,5.1,5.4,5.5,5.5,5.2,111,1893,2010
"Mean 9am wind speed (km/h) for years 1893 to 2010 ",13.5,12.0,12.3,12.7,11.8,11.4,12.1,12.6,14.8,15.0,14.2,13.8,13.0,105,1893,2010
"Mean 3pm temperature (°C) for years 1893 to 2010 ",19.5,19.7,18.3,15.8,13.2,10.8,10.6,11.9,13.5,15.1,16.5,18.1,15.2,115,1893,2010
"Mean 3pm wet bulb temperature (°C) for years 1893 to 2010 ",14.1,14.5,13.4,11.6,9.8,8.1,7.7,8.3,9.4,10.6,11.8,13.1,11.0,115,1893,2010
"Mean 3pm dew point temperature (°C) for years 1893 to 2010 ",9.1,9.7,8.7,7.4,6.0,4.7,4.0,3.8,4.4,5.7,7.0,8.3,6.6,105,1893,2010
"Mean 3pm relative humidity (%) for years 1893 to 2010 ",54,55,56,59,63,67,65,60,56,56,56,56,58,115,1893,2010
"Mean 3pm cloud cover (oktas) for years 1893 to 2010 ",5.0,4.9,5.0,5.4,5.4,5.4,5.4,5.5,5.5,5.5,5.5,5.3,5.3,111,1893,2010
"Mean 3pm wind speed (km/h) for years 1893 to 2010 ",19.0,17.7,16.2,14.5,12.6,12.2,13.2,14.5,17.0,18.0,18.9,19.1,16.1,104,1893,2010
